file_number,category,filed_by,doc_type,outcome,on_consent,sheriff_referenced
LTB-L-004968-26,L1,landlord,Order,other,False,False
LTB-L-004995-26,L1,landlord,Amended Order,terminated,True,True
LTB-L-005002-26,L1,landlord,Order,terminated,False,False
LTB-L-005030-26,L1,landlord,Order,terminated_voidable,False,True
LTB-L-005033-26,L1,landlord,Order,money_only,True,False
LTB-L-005034-26,L1,landlord,Order,money_only,True,False
LTB-L-005051-26,L1,landlord,Order,terminated_voidable,False,True
LTB-L-005054-26,L1,landlord,Order,money_only,True,False
LTB-L-005073-26,L1,landlord,Order,terminated_voidable,False,True
LTB-L-005093-26,L1,landlord,Order,money_only,True,False
LTB-L-005124-26,L1,landlord,Order,terminated_voidable,False,True
LTB-L-005140-26,L1,landlord,Order,money_only,True,False
LTB-L-005143-26,L1,landlord,Order,terminated_voidable,False,True
LTB-L-005160-26,L1,landlord,Order,money_only,True,False
LTB-L-005171-26,L1,landlord,Order,money_only,True,False
LTB-L-005177-26,L1,landlord,ExParte Order,other,False,False
LTB-L-005178-26,L1,landlord,Order,terminated_voidable,False,True
LTB-L-005183-26,L1,landlord,Order,money_only,True,False
LTB-L-005194-26,L1,landlord,Order,terminated,False,False
LTB-L-005231-26,L1,landlord,Order,dismissed,False,False
LTB-L-005248-26,L1,landlord,Order,terminated_voidable,False,True
LTB-L-005253-26,L1,landlord,Order,other,False,False
LTB-L-005286-26,L1,landlord,Order,money_only,True,False
LTB-L-005326-26,L1,landlord,Order,money_only,True,False
LTB-L-005354-26,L1,landlord,Order,terminated_voidable,False,True
LTB-L-005366-26,L1,landlord,Order,money_only,False,False
LTB-L-005382-26,L1,landlord,ExParte Order,other,False,False
LTB-L-005390-26,L1,landlord,Order,money_only,True,False
LTB-L-005391-26,L1,landlord,Order,money_only,True,False
LTB-L-005403-26,L1,landlord,Order,money_only,True,False
LTB-L-005405-26,L1,landlord,Order,terminated_voidable,False,True
LTB-L-005488-26,L1,landlord,Order,terminated_voidable,False,True
LTB-L-005535-26,L1,landlord,Order,terminated_voidable,False,True
LTB-L-005537-24,L1,landlord,Order,terminated,False,True
LTB-L-005556-26,L1,landlord,Order,terminated_voidable,False,True
LTB-L-005560-26,L1,landlord,Order,money_only,True,False
