fsa,landlord_filed,tenant_filed,total_cases,renter_households,cases_per_1000_renter_households,landlord_cases_per_1000_renter_households,tenant_per_landlord_ratio,median_household_income,pct_tenant_core_housing_need,pct_tenant_shelter_over_30pct,pct_renter,average_monthly_rent,rent_to_income_ratio
P0G,3,0,3,125,24.0,24.0,0.0,72000.0,17.4,21.7,7.53,900.0,15.0
P0H,20,12,32,1785,17.9,11.2,0.6,80000.0,25.1,30.5,13.41,901.0,13.5
P0J,16,5,21,1975,10.6,8.1,0.312,72500.0,22.3,31.7,22.53,820.0,13.6
P0K,23,2,25,960,26.0,24.0,0.087,75000.0,22.2,28.4,18.82,748.0,12.0
P0L,25,5,30,2390,12.6,10.5,0.2,77500.0,13.7,22.7,26.05,803.0,12.4
P0M,70,18,89,4225,20.8,16.6,0.257,86000.0,17.5,28.0,19.89,977.0,13.6
P0N,28,7,37,935,37.4,29.9,0.25,90000.0,20.7,30.5,23.4,894.0,11.9
P0P,7,2,9,1365,6.6,5.1,0.286,64000.0,33.5,31.6,15.51,880.0,16.5
P0R,11,0,11,970,11.3,11.3,0.0,68500.0,29.3,31.1,16.72,734.0,12.9
P0S,7,1,8,460,17.4,15.2,0.143,85000.0,19.8,22.8,10.36,760.0,10.7
P0T,48,3,51,1995,25.6,24.1,0.062,77000.0,15.2,20.5,14.78,741.0,11.5
P0V,9,3,12,1070,11.2,8.4,0.333,71500.0,19.8,21.4,14.12,880.0,14.8
P0W,4,1,5,325,15.4,12.3,0.25,76500.0,17.7,14.3,13.0,655.0,10.3
P0X,3,1,4,185,21.6,16.2,0.333,75500.0,23.5,23.5,6.08,930.0,14.8
P0Y,0,1,1,,,,,,,,,,
P1A,42,8,51,2865,17.5,14.7,0.19,74000.0,21.4,33.6,38.61,1003.0,16.3
P1B,104,19,123,6560,18.8,15.9,0.183,66000.0,22.6,37.5,42.99,1007.0,18.3
P1H,20,5,25,1585,15.8,12.6,0.25,82000.0,33.6,40.3,20.39,1189.0,17.4
