fsa,total_applications,landlord_filed,tenant_filed,coop_filed,L1,L2,L4,T2,T6,T1
L5K,60,56,2,2,53,1,2,1,0,0
N2A,60,46,14,0,30,3,4,5,1,2
M1C,60,53,5,2,16,18,7,1,0,1
L6K,59,54,5,0,39,6,8,3,1,0
L6A,59,45,14,0,24,7,10,4,5,1
L1K,59,45,11,3,18,7,6,5,0,1
L1L,58,43,15,0,23,4,6,4,1,3
M5N,58,53,5,0,35,4,6,1,2,0
N0B,58,45,13,0,20,8,8,5,0,0
L1X,58,50,8,0,34,4,5,0,3,1
M4G,57,37,20,0,23,4,2,10,4,5
M4E,57,50,5,2,26,15,3,2,0,0
P6B,57,50,6,1,30,9,7,1,2,2
L3Z,56,44,12,0,20,8,7,4,1,1
M5S,56,30,24,2,12,12,4,7,2,5
L4A,56,38,18,0,15,9,6,9,2,3
L5C,56,43,11,2,29,7,4,3,4,0
L9H,55,45,10,0,37,5,2,2,1,0
P7C,55,52,3,0,35,11,5,2,0,1
L4R,54,43,9,2,29,7,6,3,2,1
K2E,54,46,7,1,33,2,8,2,2,0
P1A,54,46,7,1,21,16,6,5,0,2
P0T,54,51,3,0,33,9,4,2,1,0
L7S,54,49,5,0,37,6,4,1,2,0
L3R,54,40,14,0,19,10,3,6,0,3
K7A,53,47,6,0,19,12,13,1,3,0
K6A,53,42,11,0,18,15,4,2,2,0
L0G,52,49,3,0,21,15,4,0,1,1
K2K,52,34,15,3,14,6,2,4,7,1
L0R,51,31,20,0,13,7,3,13,2,0
K9A,51,42,9,0,18,9,7,5,3,0
K8A,50,39,11,0,21,10,5,5,1,1
N1S,49,44,4,1,24,6,7,2,0,0
N4G,49,43,4,2,27,5,6,3,1,0
K2A,49,39,10,0,29,1,4,3,3,2
L3X,49,43,6,0,20,10,7,3,1,1
M5E,47,42,5,0,18,12,5,1,1,2
L9N,47,40,7,0,17,8,7,4,0,2
N5R,47,38,9,0,24,7,6,4,2,1
L6L,47,40,7,0,22,5,11,2,0,1
L8T,47,38,9,0,22,5,8,5,3,0
L9V,46,39,7,0,23,2,12,4,0,1
L5V,46,34,12,0,11,11,5,3,1,2
L0K,46,34,12,0,21,6,5,3,2,0
N0H,46,40,6,0,24,5,6,1,2,2
L7C,46,37,9,0,18,5,5,2,1,2
L4B,45,29,13,3,11,9,4,2,1,3
L9W,45,28,12,5,11,7,4,2,0,4
L2S,45,37,7,1,22,9,4,1,0,0
L5H,45,36,9,0,14,11,11,2,3,1
L2N,44,34,8,2,18,6,5,5,1,1
K7P,44,36,8,0,20,5,5,3,1,2
K1H,44,40,4,0,20,8,9,2,1,0
L2T,43,32,11,0,22,5,3,6,3,1
L4S,43,36,7,0,20,6,3,1,2,3
L0E,43,34,9,0,17,5,9,4,0,0
M4N,42,35,7,0,19,5,7,3,1,0
L7T,42,36,6,0,20,4,6,2,1,1
M4T,41,36,5,0,17,8,9,3,0,1
N8H,41,34,4,3,22,3,5,2,1,0
N0N,41,32,9,0,17,5,6,3,4,2
L1E,40,33,7,0,17,5,6,3,2,1
K0H,40,33,7,0,17,7,6,2,0,0
N3Y,39,33,6,0,24,5,1,6,0,0
N3C,39,24,15,0,15,5,2,0,4,3
L2A,38,31,6,1,22,1,2,4,0,0
L0L,38,26,12,0,12,6,7,9,1,1
M3K,38,37,1,0,25,3,8,0,0,1
L1A,38,26,12,0,16,4,3,2,2,8
N2K,37,25,12,0,13,3,7,3,2,1
L6B,37,24,13,0,12,9,0,5,2,3
P0N,37,28,7,2,20,4,3,1,2,0
