fsa,total_applications,landlord_filed,tenant_filed,coop_filed,L1,L2,L4,T2,T6,T1,population,total_applications_per_10k,landlord_filed_per_10k,tenant_filed_per_10k
L6P,89,65,24,0,31,16,6,9,1,7,91155.0,9.76,7.13,2.63
L6Z,33,24,9,0,9,7,5,4,1,1,33888.0,9.74,7.08,2.66
N0N,41,32,9,0,17,5,6,3,4,2,42297.0,9.69,7.57,2.13
L1Z,31,24,7,0,12,4,3,1,1,1,31989.0,9.69,7.5,2.19
L3M,27,19,8,0,9,4,4,2,2,1,28433.0,9.5,6.68,2.81
L0C,9,7,2,0,4,0,1,1,0,0,9486.0,9.49,7.38,2.11
L5V,46,34,12,0,11,11,5,3,1,2,49149.0,9.36,6.92,2.44
L8B,24,15,9,0,8,3,3,4,3,1,25778.0,9.31,5.82,3.49
K8H,15,12,3,0,10,0,1,2,1,0,16188.0,9.27,7.41,1.85
L9W,45,28,12,5,11,7,4,2,0,4,48790.0,9.22,5.74,2.46
K0L,72,61,11,0,25,19,8,4,0,1,78142.0,9.21,7.81,1.41
L0L,38,26,12,0,12,6,7,9,1,1,42022.0,9.04,6.19,2.86
M5M,23,17,6,0,14,0,1,4,1,0,25495.0,9.02,6.67,2.35
P0A,16,14,2,0,6,1,5,2,0,0,17822.0,8.98,7.86,1.12
L7B,16,12,4,0,8,1,0,0,1,0,17809.0,8.98,6.74,2.25
L3R,54,40,14,0,19,10,3,6,0,3,62060.0,8.7,6.45,2.26
N9G,18,14,4,0,3,4,1,2,0,1,20712.0,8.69,6.76,1.93
N1T,16,12,4,0,5,1,2,2,0,0,18513.0,8.64,6.48,2.16
N0H,46,40,6,0,24,5,6,1,2,2,53674.0,8.57,7.45,1.12
L1R,36,30,6,0,15,5,5,2,0,1,42221.0,8.53,7.11,1.42
P9N,12,12,0,0,4,6,0,0,0,0,14088.0,8.52,8.52,0.0
P0R,11,11,0,0,8,1,0,0,0,0,12976.0,8.48,8.48,0.0
N4Z,2,2,0,0,0,2,0,0,0,0,2362.0,8.47,8.47,0.0
N0K,21,20,1,0,8,8,3,0,0,0,24817.0,8.46,8.06,0.4
K0H,40,33,7,0,17,7,6,2,0,0,47286.0,8.46,6.98,1.48
P0G,3,3,0,0,3,0,0,0,0,0,3553.0,8.44,8.44,0.0
P3P,13,9,2,2,6,2,0,1,0,0,15408.0,8.44,5.84,1.3
K4M,12,11,1,0,6,2,2,0,1,0,14380.0,8.34,7.65,0.7
L1B,11,6,5,0,3,2,0,1,0,1,13203.0,8.33,4.54,3.79
L0H,1,1,0,0,0,0,0,0,0,0,1223.0,8.18,8.18,0.0
L9K,13,11,2,0,6,1,1,1,0,1,15928.0,8.16,6.91,1.26
N0A,26,23,3,0,10,6,3,1,1,1,31957.0,8.14,7.2,0.94
