csduid,name,fsa_count,population,households_renter,total_applications,landlord_filed,tenant_filed,coop_filed,total_applications_per_10k,landlord_filed_per_10k,tenant_filed_per_10k,total_applications_per_1k_renter,landlord_filed_per_1k_renter,tenant_filed_per_1k_renter
3507040,Rideau Lakes,0.46,10883,990,19.8,17.1,2.7,0.0,18.18,15.72,2.46,19.99,17.29,2.7
3560066,Kenora 38B,0.06,402,100,0.7,0.7,0.0,0.0,18.13,18.13,0.0,,,
3541024,Kincardine,0.92,12268,1211,22.0,19.4,2.6,0.0,17.92,15.8,2.13,18.15,16.0,2.15
3519054,East Gwillimbury,1.28,34637,1825,61.8,54.0,7.9,0.0,17.85,15.58,2.28,33.88,29.56,4.32
3554032,Brethour,0.01,105,18,0.2,0.1,0.0,0.0,17.76,13.53,4.23,,,
3549078,Magnetewan 1,0.06,102,8,0.2,0.2,0.0,0.0,17.65,17.65,0.0,,,
3507042,Athens,0.07,3042,182,5.4,4.3,1.0,0.0,17.63,14.2,3.43,29.45,23.71,5.73
3511015,Greater Napanee,0.76,16879,1532,29.4,25.8,3.6,0.0,17.41,15.3,2.11,19.18,16.86,2.33
3518009,Whitby,4.1,138501,8402,240.4,191.9,42.5,6.0,17.36,13.85,3.07,28.61,22.84,5.06
3510005,Frontenac Islands,0.26,1930,286,3.3,3.2,0.2,0.0,17.28,16.43,0.85,11.66,11.09,0.58
3549028,McKellar,0.23,1419,114,2.5,2.0,0.4,0.0,17.28,14.4,2.88,21.48,17.91,3.58
3544002,Gravenhurst,1.28,13157,1024,22.6,15.6,5.3,1.8,17.21,11.88,4.0,22.11,15.26,5.14
3512046,Marmora and Lake,0.08,4267,387,7.2,5.9,1.3,0.0,16.87,13.9,2.97,18.59,15.32,3.27
3524001,Oakville,4.93,213759,16370,357.2,288.5,67.7,1.0,16.71,13.5,3.16,21.82,17.63,4.13
3509030,Mississippi Mills,0.36,14740,1196,24.3,21.6,2.8,0.0,16.52,14.65,1.87,20.35,18.05,2.3
3543005,Clearview,0.81,14814,1961,24.4,20.4,4.0,0.0,16.5,13.78,2.72,12.47,10.41,2.05
3543017,Innisfil,1.14,43326,1929,71.2,59.5,11.6,0.0,16.43,13.74,2.69,36.9,30.87,6.03
3547070,North Algona Wilberforce,0.13,3111,382,5.1,4.0,1.1,0.0,16.28,12.82,3.46,13.24,10.43,2.81
3524002,Burlington,6.89,186948,17969,301.5,248.3,40.5,12.6,16.13,13.28,2.17,16.78,13.82,2.26
3542005,Southgate,0.27,8716,627,13.9,11.6,2.3,0.0,15.94,13.26,2.68,22.15,18.42,3.72
3526003,Fort Erie,1.18,32901,2491,52.4,42.1,9.3,1.0,15.91,12.79,2.83,21.02,16.89,3.73
3501050,North Glengarry,0.35,10144,1000,16.1,13.1,3.0,0.0,15.84,12.9,2.94,16.07,13.09,2.98
3512001,Tyendinaga,0.06,4538,369,7.2,5.7,1.5,0.0,15.78,12.58,3.2,19.42,15.49,3.94
3540046,Howick,0.05,4045,338,6.3,5.5,0.9,0.0,15.66,13.51,2.15,18.76,16.19,2.57
3540040,Huron East,0.54,9512,1134,14.8,13.0,1.8,0.0,15.56,13.63,1.93,13.05,11.43,1.62
3507004,Edwardsburgh/Cardinal,0.15,7505,395,11.6,9.4,2.3,0.0,15.5,12.48,3.02,29.44,23.71,5.74
3538003,St. Clair,0.55,14659,1192,22.6,18.8,3.8,0.0,15.41,12.79,2.62,18.96,15.74,3.22
3510035,Central Frontenac,0.19,4892,343,7.5,6.2,1.3,0.0,15.38,12.69,2.69,21.91,18.08,3.84
3541060,Neyaashiinigmiing 27,0.02,580,64,0.9,0.8,0.1,0.0,15.13,13.16,1.97,,,
3502036,Clarence-Rockland,1.08,26505,1883,39.8,31.7,8.1,0.0,15.01,11.96,3.05,21.13,16.84,4.29
3540025,Central Huron,0.31,7799,858,11.6,9.6,2.0,0.0,14.87,12.25,2.62,13.51,11.13,2.38
3518022,Mississaugas of Scugog Island,0.01,125,9,0.2,0.1,0.0,0.0,14.85,11.72,1.56,,,
