fsa,population_2021,households_total,households_owner,households_renter,pct_renter,median_household_income,median_household_income_after_tax,tenant_households,pct_tenant_subsidized,pct_tenant_shelter_over_30pct,pct_tenant_core_housing_need,median_monthly_rent,average_monthly_rent,rent_to_income_ratio
K1S,31257,14375,7370,7000,48.7,106000,90000,7000,4.2,39.4,16.2,1440,1576,17.8
K1T,40054,13635,10000,3635,26.66,107000,93000,3635,17.6,35.6,29.1,1440,1458,16.4
K1V,57157,22015,12850,9170,41.65,93000,82000,9165,22.5,31.6,27.6,1250,1286,16.6
K1W,13825,4635,3990,640,13.81,141000,118000,640,2.3,28.3,9.6,2000,1900,16.2
K1X,4594,1530,1260,265,17.32,133000,112000,270,0,33.3,15.7,2160,1940,17.5
K1Y,20712,10135,5205,4930,48.64,99000,84000,4935,14.2,31.9,20,1360,1414,17.1
K1Z,22714,10715,4005,6710,62.62,77000,67500,6715,24.6,30.3,26.4,1180,1213,18.9
K2A,17156,7470,4455,3020,40.43,105000,90000,3015,9.6,40.3,28.1,1260,1364,15.6
K2B,33254,15030,5415,9615,63.97,72000,63600,9620,15.3,33.7,28.2,1290,1276,21.3
K2C,29359,12395,6800,5595,45.14,86000,75500,5595,6.5,37.8,23.8,1400,1420,19.8
K2E,20172,8180,4550,3630,44.38,89000,78500,3625,12.1,38.7,28.2,1420,1528,20.6
K2G,50692,17935,12975,4955,27.63,114000,98000,4955,5.9,35.3,19.6,1700,1688,17.8
K2H,26759,10870,8305,2560,23.55,100000,87000,2550,14.7,34.8,24.5,1490,1468,17.6
K2J,81863,27445,22265,5175,18.86,122000,104000,5180,4.5,35,17.3,1940,1870,18.4
K2K,24922,9400,6590,2815,29.95,116000,98000,2810,5.9,49.6,17.3,1960,1990,20.6
K2L,18739,7170,5965,1205,16.81,106000,92000,1205,10.8,27.5,19.7,1450,1436,16.3
K2M,28708,9970,8615,1350,13.54,133000,112000,1350,9.3,25,16,1960,1724,15.6
K2P,18825,12520,2375,10140,80.99,66500,58000,10140,14.4,34.5,20.5,1300,1290,23.3
K2R,1237,415,390,20,4.82,164000,134000,25,0,0,0,,1600,11.7
K2S,38903,13675,11850,1825,13.35,137000,114000,1820,1.9,42.5,15.7,2100,2214,19.4
K2T,11871,3960,3090,870,21.97,141000,117000,870,0,36.6,16.5,2080,2028,17.3
K2V,10486,3560,2635,925,25.98,128000,108000,925,0,31.5,13.6,2200,2088,19.6
K2W,8553,2675,2405,275,10.28,159000,132000,270,0,31.5,10.6,2140,2060,15.5
K4A,62125,21465,18560,2905,13.53,128000,108000,2905,1.5,37.1,16.9,1940,1924,18
K4B,4704,1700,1475,220,12.94,129000,109000,220,0,27.9,22,1200,1230,11.4
K4C,4538,1600,1455,140,8.75,143000,118000,140,0,18.5,14.8,1300,1280,10.7
K4K,16958,6610,5155,1455,22.01,104000,89000,1455,9.3,34.1,31,1170,1214,14
K4M,14380,5180,4655,525,10.14,146000,121000,530,6.6,43.4,21.2,2000,1970,16.2
K4P,10448,3490,3265,225,6.45,155000,129000,220,0,36.4,20.9,1600,1550,12
K4R,8740,3200,2810,390,12.19,127000,107000,380,5.3,34.2,21.1,1350,1400,13.2
K6A,12529,6050,3500,2550,42.15,58000,53200,2555,19.4,32,14.2,810,833,17.2
K6H,30440,13495,7420,6075,45.02,61200,56400,6075,19.7,36.6,22.5,860,919,18
K6J,17827,8015,4350,3660,45.66,60400,55200,3660,18.9,34.2,20.8,880,938,18.6
K6K,3452,1435,1125,315,21.95,83000,73500,310,0,25.8,6.5,1100,1170,16.9
K6T,690,270,260,10,3.7,108000,94000,0,,,,,,
K6V,28174,13145,8350,4800,36.52,68500,62000,4795,18,38.1,22.8,970,1022,17.9
K7A,17575,7580,5445,2135,28.17,74500,67000,2135,15.9,42.7,22.9,1000,1065,17.2
K7C,20382,8215,6525,1690,20.57,99000,85000,1690,9.5,45.2,16.4,1410,1416,17.2
K7G,8740,3965,2945,1015,25.6,77500,69000,1020,12.3,35.1,10,1000,1032,16
K7H,16175,7160,5425,1740,24.3,82000,72000,1735,13.8,35.2,19.2,980,1041,15.2
K7K,33705,15560,6785,8780,56.43,67000,60400,8775,18.7,37.5,22.2,1120,1160,20.8
K7L,19621,9265,4230,5040,54.4,72500,64000,5035,6.7,52.3,14.9,1310,1448,24
K7M,49268,21695,12385,9305,42.89,77500,69500,9305,10.3,42,21.6,1260,1334,20.7
K7N,8395,3290,2475,815,24.77,91000,80000,810,2.5,34.8,25.3,1100,1308,17.2
K7P,24660,9355,7175,2180,23.3,105000,91000,2180,1.8,39.2,12.7,1590,1612,18.4
K7R,15480,6380,4495,1885,29.55,77000,69000,1880,18.9,42,20.2,1020,1159,18.1
K7S,14265,6160,4380,1775,28.81,83000,73000,1775,18.3,32.3,19.5,1010,1077,15.6
K7V,13943,6325,4465,1855,29.33,70000,63200,1850,20.8,33,14,880,921,15.8
K8A,26392,11335,7970,3370,29.73,75000,67000,3365,17.4,35.8,22.1,950,987,15.8
K8B,490,160,155,0,,136000,116000,0,,,,,,
K8H,16188,5950,3650,2300,38.66,102000,89000,2300,18.3,12.9,4.1,940,1043,12.3
K8N,30393,13250,9255,3995,30.15,79000,70500,3990,15.9,39.6,26.4,1050,1125,17.1
K8P,23166,10025,5220,4805,47.93,64500,58800,4800,18.9,40.9,28.2,1090,1127,21
K8R,2012,780,660,120,15.38,97000,85000,120,0,45.8,12.5,1740,1640,20.3
K8V,28936,12195,8125,4075,33.42,76500,68500,4070,15.1,29.3,22.8,1000,1058,16.6
K9A,26757,11515,8520,2995,26.01,82000,73000,2990,13.4,41.7,23.1,1210,1324,19.4
K9H,29704,13495,7130,6370,47.2,64000,58800,6365,20.4,44.6,28.5,1080,1157,21.7
K9J,44547,18925,11735,7170,37.89,72500,65500,7155,14.5,41.9,29.3,1110,1182,19.6
K9K,13359,5010,4095,910,18.16,98000,86000,915,7.1,38.3,15.1,1350,1564,19.2
K9L,7813,3070,2505,560,18.24,94000,83000,555,0,48.6,20,1470,1535,19.6
K9V,29369,12295,8785,3510,28.55,72500,65000,3510,21.9,44.4,31.9,1100,1114,18.4
L0A,15325,5440,5055,380,6.99,114000,97000,370,8.1,31.1,16.2,1150,1272,13.4
L0B,15501,5765,5300,465,8.07,111000,95000,455,6.6,37.4,26.4,1150,1345,14.5
L0C,9486,3285,2980,305,9.28,117000,100000,305,6.6,29.5,17.2,1310,1240,12.7
L0E,21898,8670,7220,1430,16.49,90000,79000,1405,14.6,35.6,28.3,1170,1284,17.1
L0G,44945,15635,13815,1815,11.61,118000,101000,1805,6.9,35.9,23.9,1460,1548,15.7
L0H,1223,420,315,105,25,118000,101000,100,0,40,0,1590,1680,17.1
